epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.148344847348544,1271.9988595869734,6.377343954778795,588.3629119936242
2,6.336849110228913,565.0132093360072,5.906514157937766,367.4231414753635
3,5.977565481469824,394.4788321649723,5.692529603272489,296.6430616060917
4,5.750358028964444,314.30316978206156,5.551581230466147,257.64462951999377
5,5.569899816255827,262.40780892657136,5.459768974078126,235.04311703948596
6,5.4296060284891805,228.05937882469428,5.377026900171841,216.37800475026725
7,5.317552011567991,203.88416451501533,5.335301380962428,207.53528656802436
8,5.22418503184895,185.7097612966884,5.284984618880299,197.35114794318284
9,5.148958215703974,172.25194743681666,5.254049189680888,191.33947179343113
10,5.087779903030777,162.02974071297467,5.234909212756963,187.71206370983478
11,5.038563020936736,154.24820425528148,5.2218366592667556,185.27415726548628
12,5.002596240181785,148.79897592960364,5.207052605054365,182.55520219284182
13,4.97671394367199,144.99712920987432,5.202957529823283,181.8091535113555
14,4.961496585613483,142.8073594887389,5.1965051449476265,180.6398274069215
15,4.953138989763898,141.6188069330386,5.1966028635960715,180.65748014919805
