epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.46997548866272,1754.5636783459677,6.915653405218067,1007.9293987120535
2,7.126143342971802,1244.0697526282956,6.901724926725833,993.9877938237888
3,6.76959680557251,870.9606567037265,6.378285248693592,588.9169951590203
4,6.479753040313721,651.8099556107377,6.182145273471307,484.0292183911638
5,6.258503839492798,522.436705913065,5.967500345721216,390.52826402320864
6,6.051077276229859,424.5701631158911,5.81003104512563,333.6294830830096
7,5.888691829681396,360.9328138096455,5.701559033079776,299.3337085316438
8,5.758045616149903,316.72871414873134,5.61505822678526,274.5293636923207
9,5.643106815338135,282.33853095550876,5.545283492882095,256.0271498306209
10,5.5424377784729,255.29960536406543,5.482539255176476,240.4565132662402
11,5.459617679595947,235.00755900273896,5.443536063439832,231.25848403531367
12,5.392230253219605,219.6928101778885,5.407500185366876,223.07324832843344
13,5.336186460494995,207.7190531144592,5.3793323682453815,216.87743281855603
14,5.290766345977783,198.4954833527182,5.354170747288687,211.48852618293486
15,5.255403184890747,191.5987199924996,5.3403696134418785,208.58979363426437
16,5.228252180099488,186.4666084890269,5.333709570604884,207.20519254255487
17,5.207570672988892,182.64980269200575,5.326809417701767,205.78036644390562
18,5.194210845947266,180.2258606947702,5.320807819023818,204.5490538865204
19,5.1864202709197995,178.82725265936432,5.318980730365136,204.1756658404244
20,5.182330137252808,178.09731907325394,5.317834397847067,203.94174673542702
