epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.469715877532959,1754.1082332090662,6.917507798086383,1009.8002298926775
2,7.067577899932862,1173.302733209386,6.611681981001071,743.7329119013489
3,6.65002943611145,772.8070736354891,6.318354212024254,554.6593891056947
4,6.429317554473877,619.7508574610212,6.124587784841389,456.956310122405
5,6.231739177703857,508.6393288710024,5.963145104139865,388.831117513207
6,6.047055541992187,422.8660837286654,5.8101567959357165,333.6714398987726
7,5.8878607788085935,360.6329848835075,5.69574449333602,297.5982710612423
8,5.754119401931763,315.48760738777395,5.608438476402602,272.71804966979
9,5.638411939620972,281.01609341154324,5.538732763964259,254.35546672584383
10,5.543148181915283,255.48103551922827,5.487139497973962,241.5652198139322
11,5.465437652587891,236.37928447972033,5.447707396067545,232.22515484627917
12,5.399764308929443,221.35423883803495,5.409963487293906,223.6234224351802
13,5.345155361175537,209.59044428735515,5.383468258452273,217.77627153690904
14,5.3014017066955565,200.61782032373327,5.363620937941317,213.4966065026775
15,5.266918308258057,193.81775459893592,5.349233376622914,210.4469024947586
16,5.239161699295044,188.51200640106973,5.339966048737486,208.5056311395054
17,5.219433589935303,184.829465147245,5.332931127376899,207.04395782779463
18,5.206938455581665,182.53436480208407,5.326553806145034,205.72777332608445
19,5.1998471221923825,181.2445314904368,5.325601889558895,205.5320308264728
20,5.195609251022339,180.4780657543431,5.324231682851643,205.2506023109301
